product_sku,product_name,variant_sku,variant_name,product_id
,huy hiệu haikyuu loại 2 official,,Tsuki,117
,Standee chính hãng TR các loại,,Stand Mikey(3),118
,Tổng hợp goods haikyuu official,,Kage,119
,Tổng hợp goods haikyuu official,,Hinata(2),120
,Tổng hợp goods haikyuu official,,Oikawa,121
,Standee chính hãng TR các loại,,Stande chifuyu(4),122
,huy hiệu haikyuu loại 2 official,,Hinata(3),123
,badge haikyuu các loại 1,,Kenma,124
,Standee chính hãng TR các loại,,Stand mikey(1),125
,huy hiệu các loại 3 hq,,Hoshiumi,126
,móc khoá chính hãng loại Tr,,Key mikey(3),127
,Standee chính hãng TR các loại,,Stand chifuyu 1,128
,[Có Sẵn] Thẻ nhân phẩm jujutsu kaisen metal,,,129
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng,,,130
,Tổng hợp ảnh snapmide,,1,131
,Tổng hợp ảnh snapmide,,3,132
,Badge các loại của JUMP hq,,Oikawa(1),133
,[Có Sẵn] Thẻ nhân phẩm jjk gum vol2 sẵn,,,134
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng,,Đồ tặng ngẫu nhiên,135
,[Có Sẵn] Thẻ Snapmide nhân phẩm jjk,,,136
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng,,Random tặng,137
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng( đọc kĩ mô tả ),,Random tặng,138
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng [KHÔNG ĐẶT HÀNG GIÚP SHOP]( đọc kĩ mô tả ),,Random tặng,139
,[HÀNG SẴN] Thẻ nhân phẩm metal mha học viện anh hùng 5,,Hàng new,140
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng [KHÔNG ĐẶT HÀNG GIÚP SHOP]( đọc kĩ mô tả ),,Tặng random,141
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng [KHÔNG ĐẶT HÀNG GIÚP SHOP]( đọc kĩ mô tả ),,Gift random,142
,[HÀNG SẴN] Thẻ nhân phẩm metal mha học viện anh hùng 5,,Hàng sẵn,143
,[HÀNG SẴN] Thẻ nhân phẩm metal mha học viện anh hùng 5,,,144
,[ HÀNG TẶNG KHÔNG BÁN]đồ chơi random chính hãng [KHÔNG ĐẶT HÀNG GIÚP SHOP]( đọc kĩ mô tả ),,,145
,[HÀNG SẴN] Thẻ nhân phẩm metal MHA My Hero Academia 5,,,146
,Thẻ JUMP coaster chú thuật sư,,,147
